#,,,,,TABLE I,,,,,
#,,,,,SMASS Observational Results for Near-Earth and Mars-Crossing Objects,,,,,
#,,,,,,,,,,
#,,Provisional,,,,,,H,,
#Number,Name,Desgination,Orbit,Type,Slope,PC2',PC3',Mag,T,Reference
#====================================================================,,,,,,,,,,
35670,,1998 SU27,APO,Sq,0.0195,-0.0845,-0.0129,19.6,3.47,*
36017,,1999 ND43,AMO,Sl,0.6535,-0.1569,0.0989,19.2,4.44,[3]
36183,,1999 TX16,AMO,Ld,0.9304,-0.0633,0.0375,16.2,4.16,[3]
36284,,2000 DM8,APO,Sq,0.2411,-0.1363,-0.0095,14.9,4.11,*
37336,,2001 RM,AMO,S,0.2976,-0.0851,-0.0117,15.2,3.23,*
40267,,1999 GJ4,APO,Sq,0.0082,-0.2570,0.0999,15.0,4.38,[3]
40310,,1999 KU4,MC,S:,,,,16.8,3.55,*
47035,,1998 WS,MC,Sr,0.2595,-0.2472,0.0605,12.5,3.12,[2]
48603,,1995 BC2,AMO,X,0.1629,0.1255,0.0213,17.3,3.80,*
53319,,1999 JM8,APO,X:,,,,15.2,2.99,*
,,1989 UQ,ATE,B,-0.0991,0.2898,0.0625,19.0,6.49,[5]
,,1989 VA,ATE,Sq,-0.0155,-0.2709,-0.0440,17.9,7.66,*
,,1991 BN,APO,Q,-0.0125,-0.1486,-0.0345,19.3,4.57,*
,,1991 XB,AMO,K,0.3583,0.1423,0.0745,18.1,2.93,[1]
,,1992 BF,ATE,Xc,0.1581,0.0422,-0.0434,19.5,6.52,*
,,1992 NA,AMO,C,-0.0687,0.3189,0.0517,16.5,3.28,[1]
,,1992 UB,AMO,X,0.3485,0.2866,0.0941,16.0,2.90,[1]
,,1993 TQ2,AMO,Sa,0.6672,-0.2869,0.0048,20.0,3.73,*
,,1994 AB1,AMO,Sq,0.2612,-0.1357,0.0421,16.3,3.02,*
,,1994 AW1,AMO,L,0.6599,0.0345,-0.0630,17.7,5.55,*
,,1994 TF2,ATE,Sr,0.3730,-0.3147,-0.1242,19.3,6.00,*
,,1995 BM2,MC,Sq,0.2142,-0.2681,0.0153,15.2,3.43,[2]
,,1995 WL8,AMO,Sq,0.0950,-0.0616,0.0655,18.1,3.32,*
,,1995 WQ5,MC,Ch,-0.1551,0.3241,0.0139,16.8,3.36,[2]
,,1996 BZ3,AMO,X,0.1665,0.1918,0.0363,18.2,3.18,*
,,1996 FG3,APO,C,-0.0786,0.2497,-0.0122,17.8,5.78,[3]
,,1996 FQ3,AMO,Sq,0.2013,-0.1803,0.0854,21.0,3.66,*
,,1996 GT,AMO,Xk,0.4066,0.1959,-0.0164,18.5,4.20,[5]
,,1996 UK,MC,Sq,0.1050,-0.1322,0.0333,16.4,3.19,[2]
,,1997 AC11,ATE,Xc,0.0658,0.1867,0.0106,21.0,6.36,*
,,1997 AQ18,APO,C,-0.0333,0.2344,0.0185,18.2,5.33,*
,,1997 BQ,APO,S,0.6060,-0.2500,-0.0587,18.0,3.98,*
,,1997 CZ5,MC,S,0.3600,-0.2067,0.0000,13.6,3.37,*
,,1997 GL3,APO,V,-0.3161,-0.4887,0.1259,20.0,3.10,*
,,1997 RT,AMO,O,-0.1940,-0.2061,0.0186,20.0,3.43,*
,,1997 SE5,AMO,T,0.6256,0.2200,0.0866,14.8,2.66,*
,,1997 TT25,AMO,Sq,0.2395,-0.1453,0.0063,19.3,3.60,*
,,1997 UH9,ATE,Sq,0.1526,-0.1328,-0.0146,18.8,6.90,*
,,1997 US9,APO,Q,-0.0392,-0.1906,-0.0305,17.3,5.75,*
,,1998 BB10,APO,Sq,0.1320,-0.1429,0.0808,20.4,4.97,[3]
,,1998 BM10,MC,Sq,0.2596,-0.1225,0.0496,16.5,3.31,[3]
,,1998 BT13,APO,Sq,0.1269,-0.1703,0.0592,26.5,3.19,[3]
,,1998 FM5,AMO,S,0.4468,-0.2091,0.0017,16.0,3.37,*
,,1998 HT31,APO,C:,,,,20.8,3.05,*
,,1998 KU2,AMO,Cb,-0.0044,0.2611,0.0877,16.6,3.40,*
,,1998 MQ,AMO,S,0.3283,-0.3191,0.0127,16.6,3.89,*
,,1998 MW5,APO,Sq,0.0694,-0.3656,-0.0544,19.2,5.90,[3]
,,1998 QR15,AMO,Sq,0.0048,-0.1452,-0.0547,18.0,3.07,*
,,1998 SG2,AMO,Sq,-0.0695,-0.1749,-0.0535,19.7,3.48,*
,,1998 ST49,APO,Q,-0.0904,-0.2829,0.1064,17.7,3.23,[3]
,,1998 UT18,APO,C,-0.0964,0.1721,-0.0078,20.4,3.01,[3]
,,1998 VO33,APO,V,-0.2417,-0.3718,0.0687,17.0,4.72,*
,,1998 VR,ATE,Sk,0.2964,-0.1185,-0.0574,18.5,6.66,*
,,1998 WM,APO,Sq,0.1664,-0.2466,-0.0306,16.8,5.10,*
,,1998 WP5,AMO,Sl,0.7720,-0.2027,0.0391,18.4,4.74,[3]
,,1998 WZ6,APO,V,-0.1423,-0.4932,0.1462,17.3,4.46,*
,,1998 XB,ATE,S:,,,,15.5,6.49,*
,,1998 XM4,APO,S,0.5354,-0.1596,-0.1655,15.4,3.61,*
,,1999 AQ10,ATE,S:,,,,20.3,6.37,*
,,1999 CF9,APO,Q,-0.1338,-0.1323,0.0809,17.8,3.86,[3]
,,1999 CV8,APO,V,-0.0074,-0.5133,-0.0277,19.6,4.91,*
,,1999 CW8,APO,B,-0.1459,0.2284,0.0296,18.5,3.20,*
,,1999 DB2,AMO,Sq,0.2182,-0.2762,-0.0697,19.1,2.90,*
,,1999 DJ4,APO,Sq,0.1124,-0.2085,-0.0165,18.5,3.84,[3]
,,1999 DY2,AMO,Sr,0.2861,-0.3287,-0.0335,21.9,3.65,*
,,1999 EE5,AMO,S,0.3304,-0.2154,-0.0201,18.4,4.05,*
,,1999 FA,APO,S,0.5267,-0.1734,-0.0597,20.5,5.70,[5]
,,1999 FB,APO,Q,-0.0370,-0.1015,0.0264,18.1,5.14,*
,,1999 FK21,ATE,S,0.3880,-0.1632,0.0481,18.9,7.56,*
,,1999 FN19,AMO,Sq,0.2164,-0.1613,-0.0064,22.5,4.19,[5]
,,1999 HF1,ATE,X:,,,,14.5,6.98,*
,,1999 JD6,ATE,K,0.5027,0.0223,-0.1584,17.2,6.50,[3]
,,1999 JE1,APO,Sq,-0.0829,-0.2265,0.0664,19.5,4.59,[3]
,,1999 JO8,AMO,S,0.3277,-0.2690,-0.0018,17.0,3.02,[3]
,,1999 JU3,APO,Cg,0.0442,0.1003,-0.1112,19.6,5.31,[3]
,,1999 JV3,APO,S,0.5743,-0.2689,-0.0505,19.0,4.51,[3]
,,1999 JV6,APO,Xk,0.2799,0.0553,-0.1780,19.9,6.00,[3]
,,1999 KW4,ATE,S:,,,,16.6,8.50,*
,,1999 NC43,APO,Q,0.0140,-0.3559,0.0138,16.0,3.90,*
,,1999 RB32,AMO,V,-0.0573,-0.5767,-0.0557,19.8,3.26,[3]
,,1999 SE10,AMO,X,0.5135,0.2743,-0.0380,20.0,2.84,[3]
,,1999 SK10,APO,Sq,0.1469,-0.1628,-0.0459,19.3,3.99,[3]
,,1999 VM40,AMO,S,0.5702,-0.1543,-0.0136,14.6,3.37,[3]
,,1999 VN6,AMO,C,0.0574,0.2430,0.0267,19.5,4.01,[3]
,,1999 VQ5,MC,Q,-0.1000,-0.2316,-0.0248,19.4,3.13,[3]
,,1999 WK13,AMO,S,0.4297,-0.1468,0.0080,17.2,3.74,[3]
,,1999 XO35,AMO,Sq,0.1758,-0.2042,-0.0196,16.8,3.13,[3]
,,1999 YB,AMO,Sq,0.2730,-0.2093,-0.1006,18.5,4.93,[3]
,,1999 YD,AMO,Sk,0.2899,-0.1230,-0.1395,21.1,3.22,[3]
,,1999 YF3,AMO,Sq,0.2502,-0.0966,-0.0468,18.5,4.44,[3]
,,1999 YG3,APO,S,0.5264,-0.1113,0.0322,19.1,4.82,[3]
,,1999 YK5,ATE,X,0.1050,0.2749,0.0732,16.8,6.91,[3]
,,2000 AC6,ATE,Q,-0.0917,-0.1754,-0.0144,21.0,6.87,[3]
,,2000 AE205,AMO,S,0.5336,-0.1871,-0.0714,22.9,5.41,[3]
,,2000 AH205,APO,Sk,0.3281,-0.2121,-0.1680,22.4,5.39,[3]
,,2000 AX93,AMO,Sq,0.1494,-0.1547,0.0103,17.7,3.40,[3]
,,2000 BG19,AMO,X,0.3114,0.1296,0.0425,17.9,3.11,*
,,2000 BJ19,APO,Q,-0.0330,-0.1034,-0.0099,16.2,4.58,*
,,2000 BM19,ATE,O,-0.0748,-0.2909,0.0817,18.2,7.72,[5]
,,2000 CE59,APO,L,0.6373,0.0301,-0.0086,20.4,5.47,*
,,2000 CK33,ATE,Xk,0.3880,0.1004,-0.1426,18.2,6.12,*
,,2000 CN33,AMO,X,0.3049,0.2639,0.0131,19.2,3.09,*
,,2000 CO101,APO,Xk,0.2553,0.2072,-0.0039,19.3,5.71,*
,,2000 DO1,APO,V,-0.1613,-0.5764,0.1665,20.4,4.41,*
,,2000 DO8,APO,S:,,,,24.8,3.19,*
